id,external_id,cohort_id,cohort_external_id,platform,name,original_url,url,url_id,timezone,slot_interval,latitude,longitude,archived_at,city
3005,8247,5,5,opentable,Ben and Jack’s Steakhouse 44th Street,https://www.opentable.com/restaurant/profile/13717/reserve,https://www.opentable.com/restref/client/?rid=13717,13717,America/New_York,15,,,,new_york_city
3491,8248,4,4,opentable,Morton’s The Steakhouse,https://www.opentable.com/restaurant/profile/3018/reserve,https://www.opentable.com/restref/client/?rid=3018,3018,America/New_York,15,,,,new_york_city
3983,8249,4,4,yelp,Claw Daddy’s NYC,https://www.yelp.com/reservations/claw-daddys-new-york,https://www.yelp.com/reservations/claw-daddys-new-york,hfMtSdxRsC3JQP3yrm6nag,America/New_York,15,40.722071,-73.98847,,new_york_city
3637,8250,4,4,opentable,Doc Watson’s,https://www.opentable.com/restaurant/profile/256942/reserve,https://www.opentable.com/restref/client/?rid=256942,256942,America/New_York,15,,,,new_york_city
3490,8251,4,4,opentable,Sinigual - NY,https://www.opentable.com/restaurant/profile/24487/reserve,https://www.opentable.com/restref/client/?rid=24487,24487,America/New_York,15,,,,new_york_city
3439,8252,4,4,opentable,Il Corso,https://www.opentable.com/restaurant/profile/27115/reserve,https://www.opentable.com/restref/client/?rid=27115,27115,America/New_York,15,,,,new_york_city
4000,8253,4,4,yelp,Poco,https://www.yelp.com/reservations/poco-nyc-new-york-15,https://www.yelp.com/reservations/poco-nyc-new-york-15,3LRZQolTdyps07RSoaIXpA,America/New_York,15,40.722524,-73.9829025,,new_york_city
3453,8254,4,4,opentable,Havana NY,https://www.opentable.com/restref/client/?restref=27934,https://www.opentable.com/restref/client/?rid=27934,27934,America/New_York,15,,,,new_york_city
3452,8255,4,4,opentable,Serafina Always,https://www.opentable.com/restref/client/?restref=104029,https://www.opentable.com/restref/client/?rid=104029,104029,America/New_York,15,,,,new_york_city
3489,8256,4,4,opentable,Faces and Names,https://www.opentable.com/restaurant/profile/21400/reserve,https://www.opentable.com/restref/client/?rid=21400,21400,America/New_York,15,,,,new_york_city
3944,8257,4,4,resy,The Half Pint,https://resy.com/cities/ny/the-half-pint,https://resy.com/cities/ny/the-half-pint,3308,America/New_York,15,,,,new_york_city
3917,8258,4,4,resy,Pinto,https://resy.com/cities/ny/pinto-restaurant-brooklyn-heights,https://resy.com/cities/ny/pinto-restaurant-brooklyn-heights,5681,America/New_York,15,,,,new_york_city
3943,8259,4,4,resy,Stout NYC Grand Central,https://resy.com/cities/ny/stout-grand-central,https://resy.com/cities/ny/stout-grand-central,51536,America/New_York,15,,,,new_york_city
3846,8260,4,4,resy,Kings Of Kobe,https://resy.com/cities/ny/kings-of-kobe,https://resy.com/cities/ny/kings-of-kobe,26696,America/New_York,15,,,,new_york_city
3860,8261,4,4,resy,Tarallucci e Vino - East Village,https://resy.com/cities/ny/tarallucci-e-vino-east-village,https://resy.com/cities/ny/tarallucci-e-vino-east-village,51452,America/New_York,15,,,,new_york_city
4053,8262,4,4,opentable,Scalini Fedeli,https://www.opentable.com/restaurant/profile/6417/reserve,https://www.opentable.com/restref/client/?rid=6417,6417,America/New_York,15,,,,new_york_city
3916,8263,4,4,resy,Ovelia,https://resy.com/cities/ny/ovelia,https://resy.com/cities/ny/ovelia,5832,America/New_York,15,,,,new_york_city
4070,8264,4,4,resy,Kurant,https://resy.com/cities/ny/kurant-wine-bar,https://resy.com/cities/ny/kurant-wine-bar,7993,America/New_York,15,,,,new_york_city
3859,8265,4,4,resy,Cask Bar & Kitchen,https://resy.com/cities/ny/cask-bar-and-kitchen,https://resy.com/cities/ny/cask-bar-and-kitchen,10582,America/New_York,15,,,,new_york_city
3488,8268,4,4,opentable,Da Andrea,https://www.opentable.com/restref/client/?restref=192976,https://www.opentable.com/restref/client/?rid=192976,192976,America/New_York,15,,,,new_york_city
3959,8269,4,4,resy,Sea,https://resy.com/cities/ny/sea-thai-restaurant,https://resy.com/cities/ny/sea-thai-restaurant,51484,America/New_York,15,,,,new_york_city
3845,8270,4,4,resy,Chela,https://resy.com/cities/ny/chela_bk,https://resy.com/cities/ny/chela_bk,39821,America/New_York,15,,,,new_york_city
3738,8272,4,4,opentable,STK Midtown,https://www.opentable.com/restaurant/profile/65347/reserve,https://www.opentable.com/restref/client/?rid=65347,65347,America/New_York,15,,,,new_york_city
3844,8273,4,4,resy,Amity Hall - NoHo,https://resy.com/cities/ny/amityhall,https://resy.com/cities/ny/amityhall,3296,America/New_York,15,,,,new_york_city
3737,8276,4,4,opentable,Arcadia Bar and Kitchen,https://www.opentable.com/restaurant/profile/1042333/reserve,https://www.opentable.com/restref/client/?rid=1042333,1042333,America/New_York,15,,,,new_york_city
3636,8277,4,4,opentable,La Grande Boucherie,https://www.opentable.com/restaurant/profile/1142380/reserve,https://www.opentable.com/restref/client/?rid=1142380,1142380,America/New_York,15,,,,new_york_city
4018,8279,4,4,resy,The Wild Son,https://resy.com/cities/ny/the-wild-son,https://resy.com/cities/ny/the-wild-son,3018,America/New_York,15,,,,new_york_city
4006,8282,4,4,yelp,Baron’s,https://www.yelp.com/reservations/barons-brooklyn,https://www.yelp.com/reservations/barons-brooklyn,GxMhN2PEttvw7CRGIzB6Gg,America/New_York,15,40.6908116,-73.953915,,new_york_city
4045,8283,4,4,opentable,Turkuaz Restaurant,https://www.opentable.com/restaurant/profile/1035592/reserve,https://www.opentable.com/restref/client/?rid=1035592,1035592,America/New_York,15,,,,new_york_city
3222,8320,5,5,yelp,Suzume,https://www.yelp.com/reservations/suzume-brooklyn,https://www.yelp.com/reservations/suzume-brooklyn,BlzlywklvYdek5uk_NCX9g,America/New_York,15,40.7131652,-73.9494479,,new_york_city
4017,8323,4,4,yelp,Angeletto Restaurant,https://www.yelp.com/reservations/angeletto-restaurant-new-york,https://www.yelp.com/reservations/angeletto-restaurant-new-york,7cjT33LfYSk7vrRdEaSr4w,America/New_York,15,40.753188,-73.969365,,new_york_city
3915,8328,4,4,resy,Gersi,https://resy.com/cities/ny/gersi-bkl,https://resy.com/cities/ny/gersi-bkl,26425,America/New_York,15,,,,new_york_city
3451,8330,4,4,opentable,Ruta Oaxaca Mexican Cuisine,https://www.opentable.com/restaurant/profile/1165822/reserve,https://www.opentable.com/restref/client/?rid=1165822,1165822,America/New_York,15,,,,new_york_city
3843,8332,4,4,resy,Sushi on Jones - West Village,https://resy.com/cities/ny/sushi-on-jones-w10,https://resy.com/cities/ny/sushi-on-jones-w10,5972,America/New_York,15,,,,new_york_city
3736,8336,4,4,opentable,Tito Murphys,https://www.opentable.com/restref/client/?restref=1065415,https://www.opentable.com/restref/client/?rid=1065415,1065415,America/New_York,15,,,,new_york_city
3842,8337,4,4,resy,Casa,https://resy.com/cities/ny/casa-brazilian-restaurant,https://resy.com/cities/ny/casa-brazilian-restaurant,50933,America/New_York,15,,,,new_york_city
3503,8339,4,4,opentable,The Daisy,https://www.opentable.com/restref/client/?restref=269965,https://www.opentable.com/restref/client/?rid=269965,269965,America/New_York,15,,,,new_york_city
3307,8341,5,5,resy,Vineapple Cafe,https://resy.com/cities/ny/vineapple,https://resy.com/cities/ny/vineapple,44532,America/New_York,15,,,,new_york_city
3735,8342,4,4,opentable,Terre,https://www.opentable.com/restaurant/profile/1005574/reserve,https://www.opentable.com/restref/client/?rid=1005574,1005574,America/New_York,15,,,,new_york_city
3450,8343,4,4,opentable,Nare Sushi,https://www.opentable.com/restaurant/profile/192961/reserve,https://www.opentable.com/restref/client/?rid=192961,192961,America/New_York,15,,,,new_york_city
3502,8347,4,4,opentable,Max Restaurant,https://www.opentable.com/restaurant/profile/64861/reserve,https://www.opentable.com/restref/client/?rid=64861,64861,America/New_York,15,,,,new_york_city
3449,8351,4,4,opentable,Ammazzacaffe,https://www.opentable.com/restaurant/profile/993094/reserve,https://www.opentable.com/restref/client/?rid=993094,993094,America/New_York,15,,,,new_york_city
3734,8352,4,4,opentable,Niles Bar and Restaurant,https://www.opentable.com/restaurant/profile/38500/reserve,https://www.opentable.com/restref/client/?rid=38500,38500,America/New_York,15,,,,new_york_city
3501,8353,4,4,opentable,Serafina Ludlow,https://www.opentable.com/restaurant/profile/348229/reserve?restref=348229,https://www.opentable.com/restref/client/?rid=348229,348229,America/New_York,15,,,,new_york_city
3841,8354,4,4,resy,Biga Bite,https://resy.com/cities/ny/biga-bite,https://resy.com/cities/ny/biga-bite,38670,America/New_York,15,,,,new_york_city
3635,8355,4,4,opentable,Amma,https://www.opentable.com/restref/client/?restref=4630,https://www.opentable.com/restref/client/?rid=4630,4630,America/New_York,15,,,,new_york_city
