external_id,name,cohort_external_id,full_address,timezone,platform,new_url,city
8838,Belli Osteria,4,"860 Fulton St, Brooklyn, NY 11238, USA",America/New_York,opentable,https://www.opentable.com/restaurant/profile/229045/reserve,new_york_city
8840,Kevin Rathbun Steak,4,"154 Krog St NE, Atlanta, GA 30307, USA",America/New_York,resy,https://resy.com/cities/atl/kevin-rathbun-steak,atlanta
8842,Valenza,4,"1441 Dresden Dr NE, Atlanta, GA 30319, USA",America/New_York,opentable,https://www.opentable.com/restref/client/?restref=7235,atlanta
8843,Yopparai Ronin,4,"69a Clinton St, New York, NY 10002, USA",America/New_York,opentable,https://www.opentable.com/restaurant/profile/1040896/reserve,new_york_city
8844,Rumi’s Kitchen,4,"6112 Roswell Rd NE, Atlanta, GA 30328, USA",America/New_York,opentable,https://www.opentable.com/restref/client/?restref=96220,atlanta
8845,La Petite Maison,4,"6510 Roswell Rd NE, Atlanta, GA 30328, USA",America/New_York,opentable,https://www.opentable.com/restref/client/?restref=31384,atlanta
8846,Morton’s The Steakhouse,4,"303 Peachtree Center Ave NE, Atlanta, GA 30303, USA",America/New_York,opentable,https://www.opentable.com/restref/client/?restref=2974,new_york_city
8847,Bacaro,4,"136 Division St, New York, NY 10002, USA",America/New_York,resy,https://resy.com/cities/ny/bacaro-nyc,new_york_city
8848,Crispina Ristorante & Pizzeria,4,"3300 Cobb Pkwy SE, Atlanta, GA 30339, USA",America/New_York,opentable,https://www.opentable.com/restaurant/profile/214039/reserve,new_york_city
8850,Murphy’s Restaurant,4,"997 Virginia Ave NE, Atlanta, GA 30306, USA",America/New_York,opentable,https://www.opentable.com/restaurant/profile/15553/reserve,new_york_city
8851,The Melting Pot,4,"754 W Peachtree St NW, Atlanta, GA 30308, USA",America/New_York,resy,https://resy.com/cities/atl/the-melting-pot-midtown-atlanta,atlanta
8852,Sestina,4,"67 2nd Ave, New York, NY 10003, USA",America/New_York,opentable,https://www.opentable.com/restaurant/profile/1081795/reserve,new_york_city
8853,Banshee,4,"1271 Glenwood Ave SE, Atlanta, GA 30316, USA",America/New_York,resy,https://resy.com/cities/atl/banshee,atlanta
8854,Canoe,4,"4199 Paces Ferry Rd SE, Atlanta, GA 30339, USA",America/New_York,opentable,https://www.opentable.com/restref/client/?restref=1016,atlanta
8855,Mui Kitchen & Bar,4,"10 W 32nd St, New York, NY 10001, USA",America/New_York,yelp,https://www.yelp.com/reservations/mui-new-york,new_york_city
8856,Tiny Lou’s,4,"789 Ponce De Leon Ave NE, Atlanta, GA 30306, USA",America/New_York,opentable,https://www.opentable.com/restref/client/?restref=999493,new_york_city
8857,L’Angeletto,4,"327 2nd Ave, New York, NY 10003, USA",America/New_York,yelp,https://www.yelp.com/reservations/l-angeletto-new-york,new_york_city
8858,Pasta Eater,4,"9 E 17th St, New York, NY 10003, USA",America/New_York,resy,https://resy.com/cities/ny/pasta-eater,new_york_city
8861,Pineapple Club,4,"509 E 6th St, New York, NY 10009, USA",America/New_York,opentable,https://www.opentable.com/restaurant/profile/1050919/reserve,new_york_city
8862,Jukai,4,"237 E 53rd St, New York, NY 10022, USA",America/New_York,resy,https://resy.com/cities/ny/jukai,new_york_city
8863,The Garret East,4,"206 Avenue A, New York, NY 10003, USA",America/New_York,resy,https://resy.com/cities/ny/the-garret-east-nyc,new_york_city
8864,Asset,4,"329 Columbus Ave, New York, NY 10023, USA",America/New_York,resy,https://resy.com/cities/ny/asset,new_york_city
8865,Lyla Lila,4,"693 Peachtree St NE, Atlanta, GA 30308, USA",America/New_York,resy,https://resy.com/cities/atl/lyla-lila,new_york_city
8866,Ho Foods Nyc,4,"110 E 7th St, New York, NY 10009, USA",America/New_York,resy,https://resy.com/cities/ny/ho-foods,new_york_city
8867,Piccola Cucina,4,"106 E 60th St, New York, NY 10022, USA",America/New_York,opentable,https://www.opentable.com/restaurant/profile/1068631/reserve,new_york_city
8870,Nowon,4,"507 E 6th St, New York, NY 10009, USA",America/New_York,resy,https://resy.com/cities/ny/nowon,new_york_city
8871,Delbar Middle Eastern Restaurant,5,"870 Inman Village Parkway Northeast, Atlanta, GA 30307, USA",America/New_York,resy,https://resy.com/cities/atl/delbar-middle-eastern-restaurant,new_york_city
8872,Madison & Vine,4,"299 Madison Ave, New York, NY 10017, USA",America/New_York,opentable,https://www.opentable.com/restaurant/profile/19306/reserve,new_york_city
8873,Fellaship Lounge,4,"102 Centennial Olympic Park Dr, Atlanta, GA 30310, USA",America/New_York,resy,https://resy.com/cities/atl/fellaship-lounge,new_york_city
8874,Bierhaus NYC,4,"712 3rd Ave, New York, NY 10017, USA",America/New_York,yelp,https://www.yelp.com/reservations/bierhaus-nyc-new-york-4,new_york_city
8875,The Warren City Club,4,"818 North Highland Avenue Northeast, Atlanta, GA 30306, USA",America/New_York,opentable,https://www.opentable.com/restref/client/?restref=1051312,new_york_city
